Country;iso3;year;month;type;expected.mean;acm.mean;excess.mean*;cumul.excess.mean*;cumul.excess.low*;cumul.excess.high*
Afghanistan;AFG;2020;1;predicted;23088;23425;337;337;-5113;7462
Afghanistan;AFG;2020;2;predicted;22412;22461;49;386;-7458;9907
Afghanistan;AFG;2020;3;predicted;21921;20939;-982;-596;-10256;10303
Afghanistan;AFG;2020;4;predicted;21207;20137;-1071;-1667;-13096;10996
Afghanistan;AFG;2020;5;predicted;20485;21559;1074;-593;-13315;14424
Afghanistan;AFG;2020;6;predicted;19873;23753;3879;3287;-10646;18776
Afghanistan;AFG;2020;7;predicted;19623;24605;4981;8268;-7219;26141
Afghanistan;AFG;2020;8;predicted;19777;23194;3417;11685;-4424;30664
Afghanistan;AFG;2020;9;predicted;20540;23147;2607;14293;-3242;34630
Afghanistan;AFG;2020;10;predicted;21381;24526;3145;17438;-1574;38157
Afghanistan;AFG;2020;11;predicted;22260;27087;4827;22265;1965;45445
Afghanistan;AFG;2020;12;predicted;22982;27671;4689;26954;4792;51031
Afghanistan;AFG;2021;1;predicted;23145;25548;2403;29357;6036;54006
Afghanistan;AFG;2021;2;predicted;22442;23130;688;30045;7230;55261
Afghanistan;AFG;2021;3;predicted;21946;22786;841;30886;5632;58318
Afghanistan;AFG;2021;4;predicted;21261;23741;2480;33366;8311;62380
Afghanistan;AFG;2021;5;predicted;20524;23869;3345;36711;10643;66496
Afghanistan;AFG;2021;6;predicted;19904;26549;6645;43356;16069;73034
Afghanistan;AFG;2021;7;predicted;19664;26299;6636;49992;21577;80788
Afghanistan;AFG;2021;8;predicted;19807;24793;4986;54978;24182;86926
Afghanistan;AFG;2021;9;predicted;20580;23499;2919;57896;26556;89832
Afghanistan;AFG;2021;10;predicted;21425;24277;2852;60749;28956;94717
Afghanistan;AFG;2021;11;predicted;22308;24972;2664;63413;31435;98062
Afghanistan;AFG;2021;12;predicted;23024;25344;2320;65733;32746;100858
Angola;AGO;2020;1;predicted;18968;19760;792;792;-3698;6907
Angola;AGO;2020;2;predicted;18944;19103;160;952;-5887;8538
Angola;AGO;2020;3;predicted;18953;18857;-96;856;-7395;10173
Angola;AGO;2020;4;predicted;19004;17034;-1969;-1114;-10921;9041
Angola;AGO;2020;5;predicted;19188;18030;-1158;-2272;-12735;8897
Angola;AGO;2020;6;predicted;19477;18642;-835;-3107;-14436;9151
Angola;AGO;2020;7;predicted;19503;19481;-22;-3129;-14921;10082
Angola;AGO;2020;8;predicted;19271;20033;761;-2368;-15476;11500
Angola;AGO;2020;9;predicted;19038;20154;1116;-1251;-15461;14307
Angola;AGO;2020;10;predicted;18912;19512;599;-652;-15325;15497
Angola;AGO;2020;11;predicted;18962;19622;660;8;-16580;16731
Angola;AGO;2020;12;predicted;18979;19524;545;553;-16952;17782
Angola;AGO;2021;1;predicted;19004;19878;874;1427;-17228;20181
Angola;AGO;2021;2;predicted;18982;19903;921;2348;-17995;22301
Angola;AGO;2021;3;predicted;18993;19569;576;2924;-18432;23611
Angola;AGO;2021;4;predicted;19037;19225;188;3113;-17879;24881
Angola;AGO;2021;5;predicted;19235;20462;1228;4341;-17467;28185
Angola;AGO;2021;6;predicted;19518;20145;627;4967;-17393;29161
Angola;AGO;2021;7;predicted;19534;20435;901;5868;-17598;30465
Angola;AGO;2021;8;predicted;19316;20532;1216;7085;-15845;31724
Angola;AGO;2021;9;predicted;19071;20327;1257;8341;-16657;33194
Angola;AGO;2021;10;predicted;18942;19600;658;8999;-16235;34939
Angola;AGO;2021;11;predicted;18998;19462;465;9463;-16229;36958
Angola;AGO;2021;12;predicted;19015;20548;1532;10996;-16157;37400
Albania;ALB;2020;1;reported;2143;2187;44;44;-88;169
Albania;ALB;2020;2;reported;2030;2018;-12;32;-152;223
Albania;ALB;2020;3;reported;1910;1993;83;115;-109;362
Albania;ALB;2020;4;reported;1745;1804;59;174;-78;441
Albania;ALB;2020;5;reported;1657;1803;146;319;44;610
Albania;ALB;2020;6;reported;1634;1779;145;464;158;797
Albania;ALB;2020;7;reported;1706;2166;460;924;587;1257
Albania;ALB;2020;8;reported;1653;2476;823;1746;1389;2091
Albania;ALB;2020;9;reported;1552;1982;430;2176;1806;2523
Albania;ALB;2020;10;reported;1610;2403;793;2970;2582;3349
Albania;ALB;2020;11;reported;1815;3854;2039;5009;4591;5414
Albania;ALB;2020;12;reported;2133;3140;1007;6016;5555;6458
Albania;ALB;2021;1;reported;2134;3002;867;6883;6412;7338
Albania;ALB;2021;2;reported;2028;3773;1745;8628;8123;9110
Albania;ALB;2021;3;reported;1900;3447;1546;10174;9643;10684
Albania;ALB;2021;4;reported;1734;2419;685;10859;10330;11423
Albania;ALB;2021;5;reported;1643;1874;230;11090;10540;11651
Albania;ALB;2021;6;reported;1628;1822;194;11284;10707;11858
Albania;ALB;2021;7;reported;1700;1820;120;11404;10802;11972
Albania;ALB;2021;8;reported;1655;2080;425;11830;11245;12429
Albania;ALB;2021;9;reported;1537;2506;969;12799;12176;13421
Albania;ALB;2021;10;reported;1601;2559;958;13756;13150;14389
Albania;ALB;2021;11;reported;1805;2506;700;14457;13836;15124
Albania;ALB;2021;12;reported;2127;2772;645;15102;14443;15781
Andorra;AND;2020;1;reported;55;63;8;8;0;16
Andorra;AND;2020;2;reported;54;68;14;22;10;32
Andorra;AND;2020;3;reported;52;74;22;44;29;58
Andorra;AND;2020;4;reported;48;111;63;106;90;122
Andorra;AND;2020;5;reported;46;66;20;126;108;143
Andorra;AND;2020;6;reported;46;48;2;129;108;148
Andorra;AND;2020;7;reported;46;53;7;136;112;157
Andorra;AND;2020;8;reported;47;35;-12;124;99;145
Andorra;AND;2020;9;reported;48;50;2;125;101;148
Andorra;AND;2020;10;reported;51;94;43;169;144;194
Andorra;AND;2020;11;reported;53;35;-18;150;122;178
Andorra;AND;2020;12;reported;55;76;21;171;141;199
Andorra;AND;2021;1;reported;56;96;40;211;181;242
Andorra;AND;2021;2;reported;56;66;10;221;187;253
Andorra;AND;2021;3;reported;54;48;-6;216;180;249
Andorra;AND;2021;4;reported;50;79;29;245;209;280
Andorra;AND;2021;5;reported;47;59;12;257;219;294
Andorra;AND;2021;6;reported;47;35;-12;245;205;282
Andorra;AND;2021;7;reported;47;53;6;251;210;289
Andorra;AND;2021;8;reported;48;52;4;255;214;295
Andorra;AND;2021;9;reported;49;48;-1;253;211;294
Andorra;AND;2021;10;reported;52;50;-2;252;209;293
Andorra;AND;2021;11;reported;55;48;-7;245;201;287
Andorra;AND;2021;12;reported;57;78;21;265;222;310
United Arab Emirates;ARE;2020;1;reported;1567;1467;-101;-101;-155;-44
United Arab Emirates;ARE;2020;2;reported;1565;1318;-247;-347;-437;-258
United Arab Emirates;ARE;2020;3;reported;1525;1289;-236;-583;-696;-472
United Arab Emirates;ARE;2020;4;reported;1471;2107;636;52;-75;181
United Arab Emirates;ARE;2020;5;reported;1439;3164;1724;1776;1623;1924
United Arab Emirates;ARE;2020;6;reported;1434;2101;667;2443;2280;2600
United Arab Emirates;ARE;2020;7;reported;1434;1548;114;2557;2385;2732
United Arab Emirates;ARE;2020;8;reported;1433;1491;58;2615;2430;2797
United Arab Emirates;ARE;2020;9;reported;1445;1429;-16;2599;2393;2790
United Arab Emirates;ARE;2020;10;reported;1476;1425;-51;2548;2335;2753
United Arab Emirates;ARE;2020;11;reported;1537;1617;80;2628;2411;2842
United Arab Emirates;ARE;2020;12;reported;1581;1548;-33;2595;2363;2839
United Arab Emirates;ARE;2021;1;predicted;1585;1674;89;2684;2182;3272
United Arab Emirates;ARE;2021;2;predicted;1581;1719;139;2822;2083;3628
United Arab Emirates;ARE;2021;3;predicted;1539;1686;147;2969;2042;4052
United Arab Emirates;ARE;2021;4;predicted;1482;1590;107;3077;2004;4315
United Arab Emirates;ARE;2021;5;predicted;1453;1626;173;3250;2004;4602
United Arab Emirates;ARE;2021;6;predicted;1448;1716;268;3517;2198;5042
United Arab Emirates;ARE;2021;7;predicted;1445;1775;330;3847;2309;5546
United Arab Emirates;ARE;2021;8;predicted;1448;1749;301;4148;2517;6013
United Arab Emirates;ARE;2021;9;predicted;1459;1694;235;4383;2667;6373
